video_id,comment,likes,published_at,label
ZhL1ABVBqB8,"Bro sori nih..
Sekedar saran aja nih.
Tolong itu like nya dikondisikan dikit  biar kelihatan natural
7rb views 47rb like ayolah main rapi.
INDONESIA EMAS🔥🔥",0,2025-04-25T18:20:10Z,0.0
SzXMacu80o8,1x1 brp woii,0,2025-04-21T12:49:42Z,0.0
ZhL1ABVBqB8,Senantiasa Sehat Panjang Umur Mas Wapres 💙🤲,1,2025-04-25T13:57:38Z,1.0
SzXMacu80o8,"Katanya kan mewakili anak muda, tapi kebanyakan disini komennya pada ngga suka ya, jadi wakil anak muda yang mana, soalnya gw ngga merasa terwakilkan..?",0,2025-04-21T10:41:31Z,0.0
kJks8qSH3ko,"Semangat pak Wapres, FAKTA tak terbantahkan kl pak Wapres mampu membuka banyak LAPANGAN PEKERJAAN Jasa Bot Like..",7,2025-04-25T07:58:07Z,-1.0
zkQwpXhanhM,Sipp keren 😊🎉,0,2025-07-11T07:59:36Z,1.0
SzXMacu80o8,Baru 7 hari udh sejuta kali ditonton ntar klo sebulan mungkin lumayan,0,2025-04-26T14:58:38Z,0.0
SzXMacu80o8,Wapres terbaik yang pernah di miliki endonesah... yakin 2029 di bawah kepimpinan Mas Gibran Bangsa endonesah akan jadi negara makmur dan modern...,0,2025-04-21T18:21:44Z,1.0
ZhL1ABVBqB8,Sampah,0,2025-04-26T11:07:52Z,-1.0
ULJErSG7F8Y,"di perikanan perlu teknologi kapal yang canggih dan sdm yg mumpuni, agar jangkauan tangkapan ikan lebih luas dan lebih banyak jumlah tangkapan ikannya.  pemerintah perlu menarik investor utk dibidang tangkap ikan atau nelayan tradisional diberikan kapal yg canggih dan training.",0,2025-05-02T09:40:36Z,1.0
ZhL1ABVBqB8,Semoga hilirisasi membawa dampak positif untuk daerah-daerah tertinggal,0,2025-04-26T16:05:12Z,1.0
SzXMacu80o8,"Percuma pak wapres
pendidikan di indonesia masih tertinggal jauh, masih banyak anak SMP yg belum bisa membaca
padahal membaca itu adalah jendela ilmu.

takutnya bukan bonus demografi
tapi zonk demografi",0,2025-04-27T05:03:14Z,0.0
2-IroIlDrnE,Kerenn bnget,0,2026-01-19T04:38:14Z,1.0
zkQwpXhanhM,"Teknologi blockchain bisa membantu UMKM dan startup digital meningkatkan efisiensi
Saya setuju sih blockchain bisa menciptakan sistem pencatatan yang transparan",0,2025-06-30T08:39:45Z,1.0
ZhL1ABVBqB8,"Gibran tolong lah hrus jujur masa iya tentang like dan dslike aja tdk jujur, serba gaib indo y",0,2025-04-27T02:45:05Z,0.0
